,0
0,gin
1,martini
2,mix
3,embrace
4,vermouth
5,twist
6,classic
7,simply
8,changes
9,ratio
10,two
11,ingredients
12,enjoy
13,find
14,nice
15,change
16,pace
17,far
18,cry
19,modern
20,custom
21,using
22,virtually
23,use
24,best
25,get
26,cocktail
27,add
28,dash
29,bitters
30,little
31,extra
32,spark
33,likewise
34,many
35,standard
36,options
37,also
38,work
39,instance
40,shake
41,prefer
42,pour
43,vodka
44,might
45,served
46,lemon
47,rather
48,olive
49,long
50,ingredient
51,technically
52,qualifies
53,ounces
54,dry
55,garnish
56,abbey
57,makes
58,excellent
59,brunch
60,sophisticated
61,version
62,orange
63,blossom
64,simple
65,drink
66,make
67,slight
68,kick
69,tailor
70,taste
71,regan
72,perfect
73,combination
74,favorite
75,premium
76,juice
77,fresh
78,always
79,better
80,dashes
81,maraschino
82,cherry
83,absinthe
84,truly
85,found
86,first
87,bartending
88,books
89,including
90,professor
91,jerry
92,thomas
93,recipe
94,adapted
95,minor
96,necessary
97,today
98,bar
99,printing
100,bartenders
101,guide
102,looking
103,old
104,school
105,really
106,shows
107,true
108,flavor
109,need
110,one
111,purest
112,ways
113,notorious
114,anise
115,flavored
116,liquor
117,banned
118,much
119,world
120,good
121,portion
122,th
123,century
124,similar
125,effect
126,traditional
127,method
128,drinking
129,uses
130,sugar
131,cube
132,spoon
133,interesting
134,time
135,must
136,thought
137,enough
138,doubles
139,distinct
140,reminiscent
141,black
142,licorice
143,adding
144,couple
145,anisette
146,go
147,without
148,saying
149,going
150,try
151,ounce
152,ice
153,water
154,cold
155,angostura
156,accomplice
157,combine
158,fine
159,champagne
160,great
161,strawberries
162,fantastic
163,called
164,stoli
165,elite
166,celebrations
167,especially
168,new
169,year
170,eve
171,parties
172,elegant
173,strawberry
174,comes
175,stolichnaya
176,aka
177,crisp
178,clean
179,russian
180,high
181,end
182,cocktails
183,like
184,glass
185,opposed
186,flute
187,wider
188,allows
189,bubbles
190,swell
191,finishing
192,touch
193,forget
194,rim
195,straining
196,sweetness
197,brut
198,wine
199,creating
200,sweet
201,quite
202,stunning
203,sliced
204,syrup
205,fill
206,superfine
207,sherry
208,adonis
209,aperitif
210,easy
211,remember
212,think
213,instead
214,named
215,broadway
216,musical
217,opened
218,york
219,bijou
220,ran
221,performances
222,starred
223,henry
224,e
225,dixey
226,peppermint
227,schnapps
228,adult
229,hot
230,chocolate
231,appropriately
232,easiest
233,common
234,spike
235,cocoa
236,shot
237,delicious
238,warm
239,gives
240,mint
241,alcohol
242,adds
243,warming
244,qualities
245,bit
246,sweeter
247,topped
248,whipped
249,cream
250,sprinkles
251,treating
252,amazing
253,cup
254,see
255,names
256,kiss
257,cocoanapps
258,snuggler
259,matter
260,call
261,chilly
262,night
263,amount
264,needed
265,shaved
266,whiskey
267,affinity
268,variation
269,manhattan
270,requires
271,scotch
272,choice
273,dinner
274,take
275,completely
276,different
277,character
278,depending
279,well
280,balanced
281,may
282,want
283,blended
284,mellow
285,single
286,malts
287,lowlands
288,highlands
289,speyside
290,whisky
291,alabama
292,slammer
293,short
294,history
295,though
296,highball
297,shooter
298,name
299,hits
300,popular
301,among
302,college
303,crowds
304,particularly
305,university
306,drinks
307,supposedly
308,originated
309,came
310,tall
311,hard
312,tell
313,either
314,way
315,strong
316,correlation
317,crimson
318,tide
319,football
320,team
321,slammers
322,mixed
323,substantially
324,southern
325,comfort
326,popularly
327,soco
328,apricot
329,peachy
330,mixes
331,amaretto
332,sloe
333,admittedly
334,decades
335,ago
336,created
337,mixing
338,even
339,used
340,throwback
341,fun
342,share
343,friends
344,wheel
345,algonquin
346,tropical
347,flair
348,features
349,rye
350,thankfully
351,come
352,back
353,fashion
354,number
355,brands
356,choose
357,whistle
358,pig
359,templeton
360,redemption
361,knob
362,creek
363,recommended
364,would
365,wonderfully
366,famous
367,hotel
368,city
369,although
370,exactly
371,unclear
372,built
373,known
374,prohibition
375,whether
376,debate
377,still
378,pineapple
379,alibi
380,love
381,moscow
382,mule
383,tasty
384,ginger
385,goes
386,slightly
387,vodkas
388,rely
389,create
390,beer
391,flavoring
392,opts
393,scratch
394,brings
395,spicy
396,element
397,made
398,impressive
399,snappy
400,knows
401,quickly
402,become
403,lime
404,splash
405,club
406,soda
407,almost
408,collins
409,however
410,unique
411,gets
412,pass
413,breaking
414,rules
415,colder
416,months
417,ultimate
418,blood
419,fan
420,dark
421,citrus
422,thoroughly
423,snake
424,oil
425,company
426,san
427,diego
428,california
429,co
430,pairs
431,smooth
432,ketel
433,cinnamon
434,finished
435,difficult
436,imagine
437,sip
438,prove
439,references
440,similarities
441,differences
442,essentially
443,replaces
444,customary
445,plain
