,url,categories,season
0,https://www.thespruceeats.com/50-50-gin-martini-recipe-759550,"['Gin Cocktails', 'American Food']",
1,https://www.thespruceeats.com/abbey-cocktail-recipe-759566,"['Gin Cocktails', 'Breakfast & Brunch', 'American Food', 'Citrus Recipes']",
2,https://www.thespruceeats.com/absinthe-cocktail-recipe-759567,"['Cocktail Basics', 'Cocktails', 'American Food']",
3,https://www.thespruceeats.com/stoli-accomplice-recipe-760988,"['Vodka Cocktails', 'American Food', 'Berry Recipes', 'Citrus Recipes']",
4,https://www.thespruceeats.com/adonis-cocktail-recipe-759276,"['Liqueurs', 'Cocktails', 'American Food']",
5,https://www.thespruceeats.com/adult-hot-chocolate-recipe-759570,"['Liqueurs', 'Cocktails', 'American Food']",
6,https://www.thespruceeats.com/affinity-cocktail-recipe-759277,"['Whiskey Cocktails', 'Cocktails']",
7,https://www.thespruceeats.com/alabama-slammer-recipe-760990,"['Vodka Cocktails', 'American Food', 'Citrus Recipes']",
8,https://www.thespruceeats.com/algonquin-cocktail-recipe-759574,"['Whiskey Cocktails', 'American Food', 'Pineapple Recipes']",
9,https://www.thespruceeats.com/stoli-alibi-cocktail-recipe-761180,"['Vodka Cocktails', 'Cocktails', 'Citrus Recipes']",
10,https://www.thespruceeats.com/almost-a-collins-cocktail-recipe-760950,"['Vodka Cocktails', 'Citrus Recipes', 'Winter Drinks Cocktails']",winter
11,https://www.thespruceeats.com/amarula-and-eve-cocktail-recipe-760991,"['Vodka Cocktails', 'American Food', 'Citrus Recipes']",
12,https://www.thespruceeats.com/american-collins-cocktail-760054,"['Gin Cocktails', 'Cocktails', 'July 4th Recipes', 'July 4th Drinks']",summer
13,https://www.thespruceeats.com/american-dream-cocktail-recipe-760490,"['Rum Cocktails', 'July 4th Drinks']",summer'
14,https://www.thespruceeats.com/americano-cocktail-recipe-759279,"['Liqueurs', 'American Food']",
15,https://www.thespruceeats.com/dale-degroffs-anejo-highball-cocktail-recipe-760491,"['Rum Cocktails', 'American Food', 'Citrus Recipes']",
16,https://www.thespruceeats.com/angels-delight-cocktail-recipe-759280,"['Gin Cocktails', 'American Food']",
17,https://www.thespruceeats.com/angels-tit-cocktail-recipe-759575,"['Liqueurs', 'Cocktail Basics']",
18,https://www.thespruceeats.com/aperol-spritz-cocktail-recipe-759259,"['White Wines', 'Liqueurs', 'Champagne & Sparkling Wines']",
19,https://www.thespruceeats.com/apple-cider-martini-recipe-760932,"['Vodka Cocktails', 'American Food', 'Apple Recipes', 'Fall Drinks']",fall
20,https://www.thespruceeats.com/apple-crisp-cocktail-recipe-760933,"['Vodka Cocktails', 'American Food', 'Apple Recipes']",
21,https://www.thespruceeats.com/apple-margarita-recipe-759577,"['Tequila Cocktails', 'American Food', 'Apple Recipes']",
22,https://www.thespruceeats.com/apple-martini-recipe-759579,"['Liqueurs', 'Drinks & Cocktails', 'Cocktails', 'Vodka Cocktails', 'Apple Recipes']",
23,https://www.thespruceeats.com/apple-pie-martini-recipe-760994,"['Vodka Cocktails', 'American Food', 'Apple Recipes', 'Citrus Recipes']",
24,https://www.thespruceeats.com/apple-sour-recipe-761407,"['Whiskey Cocktails', 'American Food', 'Apple Recipes', 'Citrus Recipes']",
25,https://www.thespruceeats.com/apricot-sour-cocktail-recipe-759410,"['Brandy Cocktails', 'American Food']",
26,https://www.thespruceeats.com/hennessy-black-apricot-sunray-759396,"['Liquor & Product Reviews', 'Whiskey Cocktails', 'American Food', 'Fruit Recipes', 'Citrus Recipes']",
27,https://www.thespruceeats.com/april-rain-cocktail-recipe-759580,"['Vodka Cocktails', 'American Food', 'Citrus Recipes', 'Spring Drinks']",spring
28,https://www.thespruceeats.com/aura-in-me-cocktail-recipe-759122,"['Gin Cocktails', 'Cocktails', 'Greek Food', 'Citrus Recipes']",
29,https://www.thespruceeats.com/autumn-chai-swizzle-759551,"['Teas', 'Cocktails', 'Non-Alcoholic Drinks', 'Fall Drinks']",fall
30,https://www.thespruceeats.com/yamazaki-autumn-delight-recipe-761408,"['Whiskey Cocktails', 'Japanese Food', 'Apple Recipes', 'Fall Drinks']",fall
31,https://www.thespruceeats.com/autumn-leaves-cocktail-recipe-759388,"['Brandy Cocktails', 'American Food', 'Citrus Recipes']",
32,https://www.thespruceeats.com/autumn-spiced-tonic-recipe-759087,"['Vodka Cocktails', 'Apple Recipes', 'Fall Drinks']",fall
33,https://www.thespruceeats.com/aviation-cocktail-recipe-760055,"['Gin Cocktails', 'American Food', 'Citrus Recipes']",
34,https://www.thespruceeats.com/brandy-and-benedictine-recipe-759285,"['Brandy Cocktails', 'Cocktail Party Drinks']",
35,https://www.thespruceeats.com/bacardi-cocktail-recipe-759282,"['Rum Cocktails', 'American Food', 'Citrus Recipes']",
36,https://www.thespruceeats.com/bacon-me-angry-cocktail-recipe-759089,"['Vodka Cocktails', 'Beer', 'Bacon Recipes', 'Apple Recipes']",
37,https://www.thespruceeats.com/bahama-mama-rum-cocktail-759591,"['Rum Cocktails', 'American Food', 'Fruit Recipes', 'Citrus Recipes', 'Pineapple Recipes']",
38,https://www.thespruceeats.com/baltimore-bang-cocktail-recipe-761329,"['Whiskey Cocktails', 'American Food', 'Citrus Recipes']",
39,https://www.thespruceeats.com/baltimore-bracer-recipe-759389,"['Brandy Cocktails', 'American Food']",
40,https://www.thespruceeats.com/bamboo-cocktail-recipe-759267,"['Japanese Food', 'Cocktails', 'Citrus Recipes']",
41,https://www.thespruceeats.com/rumchata-banana-cream-pie-recipe-759160,"['Rum Cocktails', 'American Food', 'Banana Recipes']",
