,name,season
0,50-50 martini,summer
1,abbey cocktail,spring
2,absinthe cocktail,fall
3,accomplice,summer
4,adonis,fall
5,adult hot chocolate,summer
6,affinity,summer
7,alabama slammer,fall
8,algonquin cocktail,winter
9,alibi,fall
10,almost a collins,winter
11,amarula and eve,winter
12,american collins,summer
13,american dream,summer'
14,americano,winter
15,anejo highball,winter
16,angel's delight,winter
17,angel's tit,summer
18,aperol spritz,winter
19,apple cider martini,fall
20,apple crisp,spring
21,apple margarita,summer
22,apple martini,winter
23,apple pie martini,spring
24,apple sour,summer
25,apricot sour,fall
26,apricot sunray,summer
27,april rain,spring
28,aura in me,fall
29,autumn chai swizzle,fall
30,autumn delight,fall
31,autumn leaves,summer
32,autumn spiced tonic,fall
33,aviation cocktail,summer
34,b and b,summer
35,bacardi cocktail,winter
36,bacon me angry,spring
37,bahama mama,winter
38,baltimore bang,summer
39,baltimore bracer,spring
40,bamboo cocktail,summer
41,banana cream pie,fall
42,banana daiquiri,summer
43,banana hammock,winter
44,banana split martini,spring
45,banshee,fall
46,basil-ica,summer
47,batida,winter
48,bay breeze,winter
49,beachcomber,fall
50,beatnik,summer
51,beautiful,fall
52,bed of roses,winter
53,bee's knees,fall
54,"beer, bourbon and barbecue cocktail",summer
55,bellini,winter
56,belmont breeze,fall
57,belmont jewel,spring
58,berried treasure,fall
59,berry bliss,winter
60,berry white,fall
61,besame,fall
62,between the sheets,winter
63,biltmore,winter
64,bishop cocktail,winter
65,black and blue,winter
66,black and red,fall
67,black and tan,spring
68,black cat,fall
69,black cherry breezer,spring
70,black magic,winter
71,black martini,fall
72,black russian,fall
73,black velvet,fall
74,black widow,fall
75,blackberry malt,winter
76,blackberry sidecar,fall
77,blind pilot,fall
78,blood and sand,fall
79,blood martini,fall
80,bloody caesar,fall
81,bloody margarita,winter
82,bloody maria,fall
83,bloody mary,fall
84,bloody rum punch,fall
85,blue bayou,winter
86,blue blazer,summer
87,blue hawaiian,summer
88,blue lagoon margarita,winter
89,blue margarita,winter
90,blueberry martini,summer
91,blueberry tea,spring
92,blushing bride,fall
93,blushing geisha,winter
94,blushing lady,winter
95,bocce ball,spring
96,boston cocktail,fall
97,boston sidecar,winter
98,boulevardier cocktail,summer
99,bourbon and blood,winter
100,bourbon tea,fall
101,bramble,fall
102,brandy alexander,fall
103,brandy cobbler,summer
104,brandy cocktail,fall
105,brandy daisy,spring
106,brandy eggnog,summer
107,brandy milk punch,summer
108,brandy old-fashioned,summer
109,brandy smash,summer
110,brave bull,summer
111,brazilian sangria,winter
112,broad stripes and bright stars,summer
113,brogue,summer
114,bronx,spring
115,buck's fizz,spring
116,bull shot,fall
117,burning bush,fall
118,bushwacker,winter
119,butternut old-fashioned,fall
120,cable car,summer
121,cadillac margarita,fall
122,cafe amore,winter
123,cafe brasileiro,summer
124,cafe caribbean,fall
125,cafe royal,summer
126,caipirinha,winter
127,caipirini,summer
128,campari and soda,spring
129,campari cosmo,summer
130,canadian cocktail,fall
131,candy appley,spring
132,candy cane,fall
133,candy corn,fall
134,cantarito,winter
135,cape codder,winter
136,caramel apple pie,spring
137,caramel appletini,fall
138,caramel irish coffee,fall
139,cardinal cocktail,fall
140,catalina margarita,fall
141,celery cup no. 1,winter
142,centennial punch,winter
143,central park,winter
144,champagne and chambord,fall
145,champagne bowler,winter
146,champagne cocktail,summer
147,champagne punch,winter
148,charlie chaplin,fall
149,chartreuse martini,spring
150,cherry bitch,winter
151,cherry blossom tini,fall
152,cherry cobbler,summer
153,cherry lane,fall
154,cherub's cup,winter
155,chi-chi,summer
156,chicago fizz,summer
157,children of the corn,fall
158,chimayo,spring
159,chocolate and orange martini,fall
160,chocolate kiss,summer
161,chocolate margarita,summer
162,chocolate martini,spring
163,chocolatini,fall
164,christi extreme,fall
165,christmas jones,winter
166,chrysanthemum,spring
167,cinco herradura,spring
168,citron sipper,winter
169,clover club cocktail,summer
170,club cocktail,fall
171,coco light martini,winter
172,coco margarita,fall
173,cocoa old-fashioned,fall
174,coconut martini,winter
175,coffee cocktail,summer
176,coffee old-fashioned,winter
177,cold in the shadows,summer
178,colorado bulldog,fall
179,colt 45,fall
180,commodore,summer
181,coriandrum,winter
182,corpse reviver no.2,spring
183,cosmopolitan,fall
184,crantini,fall
185,creamsicle,fall
186,creme brulee martini,fall
187,creole cocktail,summer
188,cuba libre,winter
189,cuban rose,spring
190,cucumber mint margarita,winter
191,cucumber wasabi martini,winter
192,dafne martini,winter
193,daiquir-ease,fall
194,daiquiri,fall
195,danny ocean,winter
196,dark 'n fluffy,winter
197,dark and stormy,fall
198,death by chocolate,fall
199,deep blue sea martini,winter
200,delilah,summer
201,derby cocktail,spring
202,devil cocktail,fall
203,devil's handshake,winter
204,devil's punch,winter
205,diamond martini,fall
206,dirty bird,fall
207,dirty hornitini,summer
208,dirty martini,fall
209,dirty mother,fall
210,dorda cafe,fall
211,dorflinger,summer
212,dracula's kiss,fall
213,dragon's heart,winter
214,dubonnet cocktail,fall
215,dulce de leche,spring
216,dulce de tequila,summer
217,early autumn,spring
218,easter bunny,spring
219,el diablo,fall
220,el pepino,fall
221,el presidente,summer
222,elderflower cocktail,spring
223,electric iced tea,winter
224,embassy cocktail,winter
225,emerald isle,spring
226,english christmas punch,winter
227,english rose,summer
228,envy,summer
229,espaloma,winter
230,espresso martini,
231,espresso martini,fall
232,eucalyptus martini,winter
233,eye candy,winter
234,fabiola,summer
235,fall spice cordial,fall
236,firefly,fall
237,flaming homer or moe,winter
238,flirtini,winter
239,floating on cloud 9,fall
240,floradora,winter
241,foghorn,fall
242,for the record,summer
243,forty creek caesar,fall
244,freddie fuddpucker,fall
245,french 75,spring
246,french connection,fall
247,french martini,winter
248,french pear martini,fall
249,french pearl,fall
250,french quarter smash,summer
251,french sparkle,fall
252,friar tuck,summer
253,fright night in the grove,fall
254,frisco 49,summer
255,frisco sour,fall
256,frog in a blender,fall
257,frostbite,fall
258,frozen daiquiri,winter
259,frozen margarita,winter
260,frozen pina colada,summer
261,fuzzy navel,fall
262,game set match,fall
263,garden patch smash,fall
264,georgia on my mind,fall
265,german vacation,summer
266,ghost-tini,fall
267,ghostbuster,fall
268,gibson,spring
269,gimlet,fall
270,gin and it,fall
271,gin and sin,summer
272,gin and tonic,fall
273,gin buck,winter
274,gin fizz,winter
275,gin rickey,fall
276,gin sling,fall
277,gin toddy,winter
278,ginger julep '68 fastback,summer
279,ginger martini,spring
280,ginger snap martini,winter
281,ginger sour,fall
282,ginger tea,winter
283,ginger-tini,winter
284,gingerbread man-tini,winter
285,ginspresso martini,summer
286,glogg,winter
287,goblet of fire,spring
288,godfather,fall
289,godmother,fall
290,gold rush,spring
291,golden cadillac,fall
292,golden cappuccino martini,fall
293,golden dream,summer
294,golden glamour,winter
295,golden margarita,fall
296,gombo,winter
297,good luck charm,summer
298,grand rum toddy,winter
299,grasshopper,fall
300,great pumpkin,fall
301,green beer,fall
302,green dublin apple cocktail,spring
303,green gin giant,fall
304,greyhound,winter
305,grinch,winter
306,guadalajara,fall
307,gummi bear margarita,summer
308,gummy bear martini,fall
309,gunpowder gimlet,fall
310,habanero blood orange margarita,winter
311,habanero martini,summer
312,hair of the dog,fall
313,hairy navel,winter
314,halloween harvest,spring
315,halloween hpnotist,fall
316,happy new year,winter
