base_spirits,name,url,name_words,description,image,ingredients,Length
['gin'],50-50 martini,https://www.thespruceeats.com/50-50-gin-martini-recipe-759550,"['50-50', 'martini']","The 50-50 martini is the mix for those who embrace vermouth. It's a twist on the classic gin martini that simply changes up the ratio of the two ingredients. If you enjoy vermouth, you'll find this a nice change of pace and a far cry from the modern custom of using virtually no vermouth. Use the best gin and vermouth you can get for this cocktail and add a dash of bitters for a little extra spark. Likewise, many of the standard martini options will also work here. For instance, shake it if you prefer or pour vodka. You might also enjoy it served with a lemon twist rather than the olive. As long as the ingredient ratio is 1:1, it technically qualifies as a 50-50 martini!",https://www.thespruceeats.com/thmb/PNxhU3pehj-aeBopfixw4ML_PxQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/5050Martini-477307201-56a170623df78cf7726aa7eb.jpg,"['2 ounces gin', '2 ounces dry vermouth', 'Garnish: olive']",3
['gin'],abbey cocktail,https://www.thespruceeats.com/abbey-cocktail-recipe-759566,"['abbey', 'cocktail']","The Abbey Cocktail makes an excellent brunch cocktail and is the more sophisticated version of an Orange Blossom. It's a very simple drink to make but the orange bitters add a slight kick to the drink, which you can tailor to your taste. Regan's Orange Bitters No. 6 is the perfect combination with your favorite premium gin. For the juice, fresh is always better.",https://www.thespruceeats.com/thmb/gc7MpJ85PeA8RnCesCCvytAAzic=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/WillRogersCocktail-498373867-56a1741b3df78cf7726ac651.jpg,"['2 ounces gin', '1 1/2 ounces orange juice', '2 dashes orange bitters', 'Garnish: maraschino cherry']",4
['absinthe'],absinthe cocktail,https://www.thespruceeats.com/absinthe-cocktail-recipe-759567,"['absinthe', 'cocktail']","This absinthe cocktail is truly a classic cocktail. It can be found in many of the first bartending books including those by ""The Professor"" Jerry Thomas. This recipe has been adapted--with only minor changes necessary for today's bar--from the 1887 printing of Thomas' ""Bartenders Guide."" If you're looking for an old-school drink that really shows off the true flavor of absinthe, it's the recipe you need! The absinthe cocktail is one of the purest ways to enjoy the notorious anise-flavored liquor that was banned through much of the world for a good portion of the 20th century. This recipe is very similar in taste and effect as the traditional method of drinking absinthe, which uses a sugar cube and absinthe spoon. In an interesting twist, bartenders of Thomas' time must have thought that absinthe wasn't enough anise for this drink. The recipe doubles up on that distinct flavor--reminiscent of black licorice--by adding a couple dashes of anisette. It should go without saying, then, that if you are going to try this drink, you really, really need to enjoy the taste of anise!",https://www.thespruceeats.com/thmb/dkkcc3vR008Z-lYhw2vEDgYYSyE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Absinthe-Cocktail-56a172985f9b58b7d0bf5f24.jpg,"['1 ounce absinthe', '1 ounce ice water (cold)', '2 dashes anisette', '2 dashes Angostura Bitters']",4
['vodka'],accomplice,https://www.thespruceeats.com/stoli-accomplice-recipe-760988,['accomplice'],"Combine a fine Champagne and a great vodka with strawberries and you have a fantastic drink called the Stoli accomplice. This is a great cocktail for elite celebrations and, especially, New Year's Eve parties. The elegant strawberry cocktail recipe comes from Stolichnaya Vodka (aka Stoli), which is a crisp, clean Russian vodka that's perfect for high-end cocktails like this. It's also nice that it's served in a cocktail glass as opposed to a Champagne flute because the wider glass allows the bubbles to swell. For the perfect finishing touch, don't forget to rim your glass before straining the drink. The sugar's sweetness is fantastic against a  brut or extra brut wine, creating a sweet-dry combination that is quite stunning.",https://www.thespruceeats.com/thmb/kE1PT0zTpWwl_nvHQvA6iqpY4T4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-587105097-581ca9133df78cc2e87abbf5.jpg,"['3 strawberries (sliced)', '1/2 ounce simple syrup', '2 ounces vodka (Stolichnaya)', '1/2 ounce lemon juice (fresh)', '1 ounce Champagne (or enough to fill)', 'Garnish: superfine sugar for the rim']",6
['sherry'],adonis,https://www.thespruceeats.com/adonis-cocktail-recipe-759276,['adonis'],"The Adonis is one of the classic cocktails that makes an excellent aperitif. It's an easy drink to remember, just think of a Perfect Martini with sherry instead of gin. The cocktail is named after what is called the first Broadway musical. Adonis opened in 1884 at New York's Bijou, ran for over 600 performances, and starred Henry E. Dixey.",https://www.thespruceeats.com/thmb/oLTEMIFagTc8iW4HCekbfw9W80M=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/adonis-cocktail-56a170405f9b58b7d0bf4aba.jpg,"['1-ounce dry sherry', '1/2 ounce sweet vermouth', '1/2 ounce dry vermouth', '2 dashes orange bitters']",4
['peppermint schnapps'],adult hot chocolate,https://www.thespruceeats.com/adult-hot-chocolate-recipe-759570,"['adult', 'hot', 'chocolate']","Appropriately named ""adult hot chocolate,"" this recipe is one of the easiest and most common ways to spike your cocoa. To make it, you will simply add a shot of peppermint schnapps to your favorite hot chocolate and a delicious, warm drink is yours to enjoy! The schnapps not only gives it a mint-chocolate flavor, the alcohol also adds to the warming qualities of the drink and makes it a bit sweeter. When topped with whipped cream and chocolate sprinkles, you'll be treating yourself to one amazing cup of cocoa. You might also see this same recipe under the names peppermint kiss, cocoanapps, or the snuggler. No matter what you call it, it is the perfect drink for any chilly night.",https://www.thespruceeats.com/thmb/w54r8YmXnvLwPgckjkXcXrWu168=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/SpikedHotChocolate_002-5bf33c74c9e77c0027dde198.jpg,"['2 ounces peppermint schnapps', '6 ounces hot chocolate (or amount needed to fill)', 'Garnish: whipped cream', 'Garnish: chocolate sprinkles or shaved chocolate']",4
['whiskey'],affinity,https://www.thespruceeats.com/affinity-cocktail-recipe-759277,['affinity'],"An Affinity is a slight variation of the Perfect Manhattan that requires Scotch as the whiskey of choice. It makes a great before dinner drink. Just as in the gin Martini, this cocktail will take on a completely different character depending on which Scotch you use. For a well-balanced Affinity, you may want to go with a blended Scotch or those that are mellow like single malts from the Lowlands, Highlands, or Speyside.",https://www.thespruceeats.com/thmb/y6qUR2kOzDpPfS6xEoAP_E01PFs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/affinity-cocktail-56a170a13df78cf7726aa9e9.jpg,"['1 1/2 ounce Scotch whisky', '1/2 ounce sweet vermouth', '1/2 ounce dry vermouth', '2 dashes orange bitters']",4
['vodka'],air force one,https://www.thespruceeats.com/air-force-one-cocktail-recipe-760989,"['air', 'force', 'one']","Master Mixologist and author of Market-Fresh Mixology, Bridget Albert, created this Air Force One cocktail for the historic inauguration of President Barack Obama. It's a simple mixed drink that holds the beautiful blue hue of Hpnotiq liqueur, which is mixed with your favorite citrus vodka and topped with lemon-lime soda. The color and refreshing taste make this a delightful drink for any day of the year and the name ensures a perfect fit for the Fourth of July or any other patriotic holiday.",https://www.thespruceeats.com/thmb/hgHD4Bh3KwFaF-ArPJwK2GectRQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AirForceOne-175496830-56a171c43df78cf7726ab3a8-5bdd8b04c9e77c0051395d6d.jpg,"['2 ounces Hpnotiq Liqueur', '1 ounce citrus vodka', '7 ounces lemon-lime soda (or more to fill glass)', 'G arnish: juice from a lemon wedge', 'Garnish: lemon spiral']",5
['vodka'],alabama slammer,https://www.thespruceeats.com/alabama-slammer-recipe-760990,"['alabama', 'slammer']","The Alabama Slammer has a short history, though both this highball and the shooter of the same name were hits at the bar from the 1970s through the '80s. They were popular among the college crowds of the time, particularly at the University of Alabama where the drinks supposedly originated. Which came first, the shot or the tall drink? It's hard to tell, but the shot may very well have been first. Either way, the Alabama Slammer does have a strong correlation with Alabama's Crimson Tide football team. The ingredients are the same in both Alabama Slammers, though in this mixed drink there is substantially more orange juice. The Southern Comfort (popularly just called SoCo) adds an apricot-peachy flavor that mixes well with the amaretto and sloe gin. Admittedly, the Alabama Slammer is not as popular today as it was a few decades ago. It was created during a time when bartenders were mixing up some very strong, very sweet drinks. Even the SoCo and sloe gin used here are not used as much today as they once were. It is a good throwback drink and fun to share with friends.",https://www.thespruceeats.com/thmb/jo9aToU3SCdz2pJ4LUmats5Xx_U=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AlabamaSlammer-135583351-56a170723df78cf7726aa8d0.jpg,"['1 ounce Southern Comfort', '1 ounce amaretto', '1 ounce sloe gin', '2 ounces orange juice', 'Garnish: orange wheel', 'Garnish: maraschino cherry']",6
['whiskey'],algonquin cocktail,https://www.thespruceeats.com/algonquin-cocktail-recipe-759574,"['algonquin', 'cocktail']","The Algonquin Cocktail is a great whiskey martini with a little tropical flair. It features rye whiskey, which has, thankfully, come back into fashion. We now have a number of great brands to choose from, including Whistle Pig, Templeton Rye, Redemption, and Knob Creek Rye. All are recommended brands that would work wonderfully for this cocktail. The cocktail was named after the famous Algonquin Hotel in New York City although when exactly it was created is unclear. The hotel, built in 1902, was known as a ""dry"" hotel well before Prohibition. Whether it was before or after the 1930s is up for debate. But it really doesn't matter because this is still and always will be one of the great classic cocktails.",https://www.thespruceeats.com/thmb/77QvFF2xH-NHvehsXYOElGM9S2Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Algonquin-Cocktail-595ebe6b5f9b58b0d4798167.jpg,"['1 1/2 ounces rye whiskey', '3/4 ounce dry vermouth', '3/4 ounce pineapple juice']",3
